match_id,route_group,plane_start_x,plane_start_y,plane_end_x,plane_end_y,plane_angle,p1_center_x,p1_center_y,p1_radius,p2_center_x,p2_center_y,p2_radius,p3_center_x,p3_center_y,p3_radius,p4_center_x,p4_center_y,p4_radius,p5_center_x,p5_center_y,p5_radius,p6_center_x,p6_center_y,p6_radius,p7_center_x,p7_center_y,p7_radius,p8_center_x,p8_center_y,p8_radius,p9_center_x,p9_center_y,p9_radius
1e666897-c3ec-4a57-b830-b1c9acf2c06e,southwest_to_northeast_georgopol,-83353.22526041667,695543.390625,319674.5909090909,329335.4602272727,-42.25959804853132,526402.375,339742.78125,203699.6875,556730.25,380664.6875,112034.828125,561956.0,377778.875,67220.8984375,565968.125,353840.15625,36971.49609375,571710.0,343822.3125,18485.748046875,572181.9375,352590.59375,9242.8740234375,573491.4375,352360.375,4621.43701171875,573587.875,354172.9375,2310.718505859375,573587.875,354172.9375,2.310718536376953
50224969-b02a-4a1a-b931-49b65a8150fb,east_to_west,964545.10625,484286.184375,387413.74441964284,521625.4375,176.29823607126121,414432.34375,409749.71875,203699.6875,484909.21875,404517.03125,112034.828125,470262.21875,366419.75,67220.8984375,465025.75,368003.5,36971.49609375,476411.96875,369792.15625,18485.748046875,470275.5,366825.9375,9242.8740234375,470614.25,364567.4375,4621.43701171875,,,,,,
b207d6e5-340c-43df-929a-06984746b734,west_to_east_georgopol,-145885.25568181818,566270.0227272727,384417.84517045453,397391.9119318182,-17.66437917040156,190494.90625,498800.25,203699.6875,221802.203125,500925.3125,112034.828125,212373.734375,492428.09375,67220.8984375,187248.140625,492029.0,36971.49609375,201693.75,498879.5,18485.748046875,,,,,,,,,,,,
a95e1b67-dc34-4f52-9e79-15fba9003273,north_to_south_severny,274719.1538461539,-145744.0625,433338.61079545453,323054.3224431818,71.30658416418107,341809.4375,195797.71875,203699.6875,345306.5625,277291.5625,112034.828125,337096.28125,290054.25,67220.8984375,322087.1875,291016.03125,36971.49609375,326992.6875,286149.84375,18485.748046875,331148.875,285141.375,9242.8740234375,,,,,,,,,
80da401d-72f3-4eaf-b3b5-300406f4ac18,southwest_to_northeast_georgopol,-79906.1484375,709616.4080882353,333939.65625,407653.875,-36.11635461362499,285630.8125,364863.40625,203699.6875,254233.828125,370204.03125,112034.828125,270139.125,345744.0,67220.8984375,242921.125,337540.375,36971.49609375,239280.546875,331855.3125,18485.748046875,243117.578125,328114.4375,9242.8740234375,243319.765625,331137.65625,4621.43701171875,244261.234375,330092.03125,2310.718505859375,,,
d796ee72-6938-4aa7-ab05-6cff3b1188f9,northeast_to_southwest_yasnaya,835576.2836538461,54974.95913461538,537488.8664772727,401895.45738636365,130.67043771459888,519064.8125,504166.59375,203699.6875,469994.6875,469227.28125,112034.828125,473084.90625,425311.46875,67220.8984375,447403.4375,415255.28125,36971.49609375,454301.53125,420035.625,18485.748046875,,,,,,,,,,,,
6240dfee-ce46-4b3f-8f0a-1734d966c0bf,northeast_to_southwest,923692.4625,161662.896875,434088.31392045453,519250.0965909091,143.85710888968612,397420.1875,654730.0625,203699.6875,403819.09375,725036.9375,112034.828125,417042.71875,697287.3125,67220.8984375,395328.53125,717590.125,36971.49609375,391106.71875,704433.625,18485.748046875,,,,,,,,,,,,
1881e31c-0c19-4e4d-a292-f918d1a0ed0b,south_to_north_military,538150.4910714285,958458.9241071428,494941.27022058825,290883.4393382353,-93.70333762760437,564116.625,201132.40625,203699.6875,523933.125,178805.421875,112034.828125,529038.125,213604.59375,67220.8984375,506053.21875,199801.671875,36971.49609375,519329.03125,211251.109375,18485.748046875,516715.75,216287.5,9242.8740234375,,,,,,,,,
8e6dbeac-ccc5-4296-b86a-89515f57ac4c,northeast_to_southwest_severny,651192.50625,-102441.59765625,468653.5729166667,293145.6829427083,114.77038679007903,601910.0,366744.34375,203699.6875,655550.4375,304501.1875,112034.828125,659644.6875,339957.6875,67220.8984375,652431.75,360336.34375,36971.49609375,665486.6875,364563.625,18485.748046875,667037.0625,367774.15625,9242.8740234375,668420.125,370293.90625,4621.43701171875,668183.1875,369801.1875,2310.718505859375,,,
f93cf17d-6473-4ce1-a345-37d16ecd0d86,east_to_west,983869.4375,421438.2375,346056.8109375,250611.6328125,-165.0062672589922,219329.34375,310159.375,203699.6875,138233.46875,350901.375,112034.828125,123114.703125,378102.09375,67220.8984375,118751.9140625,403775.875,36971.49609375,105922.4765625,411039.46875,18485.748046875,109875.5,408153.34375,9242.8740234375,,,,,,,,,
a1896b20-27eb-4658-ae61-41fc8ccfd3a5,northeast_to_southwest_yasnaya,793257.7916666666,20305.813802083332,505809.7451923077,424187.1586538461,125.43999421898715,569447.5,330863.53125,203699.6875,562727.1875,398603.0,112034.828125,554195.5,428723.1875,67220.8984375,532341.1875,410170.65625,36971.49609375,541736.0,417120.5,18485.748046875,536498.625,423903.625,9242.8740234375,537483.0625,427537.78125,4621.43701171875,535463.125,427812.03125,2310.718505859375,,,
bc7d33a4-fd56-4db0-83a3-5b2a4cf153d7,southeast_to_northwest_military,668918.6875,914349.3616071428,439117.515625,465364.78515625,-117.10446533531938,337231.5625,624514.5625,203699.6875,258685.375,581394.125,112034.828125,272891.0,564238.3125,67220.8984375,244959.8125,569502.5,36971.49609375,239749.09375,579803.3125,18485.748046875,231992.921875,581992.4375,9242.8740234375,,,,,,,,,
6622eef5-d5e9-4a3c-a82f-cd700082d27f,west_to_east_georgopol,-162823.2734375,326285.740625,345619.7546875,308993.0140625,-1.947943859761388,196988.578125,549375.5,203699.6875,163163.859375,563625.8125,112034.828125,140831.171875,555375.375,67220.8984375,119845.1171875,538707.25,36971.49609375,113852.2890625,526220.125,18485.748046875,114223.1640625,528058.625,9242.8740234375,118563.65625,527284.5,4621.43701171875,118934.46875,527557.625,2310.718505859375,,,
140ade59-94f2-4d7c-bdca-335da1452d90,south_to_north_military,563662.2403846154,955834.7451923077,554700.3385416666,281945.9524739583,-90.7619193105191,440190.625,281905.125,203699.6875,481698.9375,306818.46875,112034.828125,445684.53125,280867.6875,67220.8984375,465644.15625,288980.65625,36971.49609375,476556.65625,285014.875,18485.748046875,483824.0,285254.375,9242.8740234375,,,,,,,,,
dedb29cf-0b2f-4436-b1c4-8246c5678db1,northwest_to_southeast_georgopol,-21411.56730769231,54024.515324519234,238097.374609375,239683.446875,35.580840996918596,155707.5625,325643.75,203699.6875,208193.15625,349890.75,112034.828125,200339.40625,320066.15625,67220.8984375,220888.3125,315988.5,36971.49609375,216800.203125,323428.9375,18485.748046875,219680.28125,325049.34375,9242.8740234375,222996.609375,327821.0,4621.43701171875,224490.375,326744.375,2310.718505859375,,,
2d58c1e6-abe8-4804-9382-08d54175452c,southwest_to_northeast_military,21393.942838541665,816432.975,433353.11383928574,494502.8816964286,-38.00624481971112,399751.0625,654346.25,203699.6875,367627.8125,724045.375,112034.828125,379704.5,722360.3125,67220.8984375,381718.5625,735581.9375,36971.49609375,386469.5,732555.375,18485.748046875,390207.75,725601.75,9242.8740234375,389888.9375,729073.875,4621.43701171875,389663.78125,727171.75,2310.718505859375,,,
547da158-314b-4cc4-baab-57542954f5a1,northwest_to_southeast_georgopol,12796.82880859375,1123.7158203125,326778.4265625,305376.7328125,44.09846423542913,387166.34375,415289.5,203699.6875,336075.09375,359610.0,112034.828125,310755.0,371330.5,67220.8984375,299438.6875,372159.3125,40332.5390625,303241.71875,370794.53125,26216.150390625,303498.25,369083.28125,17040.498046875,305652.625,373946.96875,11076.3232421875,,,,,,
49481048-da8f-48d4-930e-ccb4e28fc954,east_to_west_yasnaya,931430.8291666667,187003.265625,343888.27790178574,321777.6629464286,167.08061856795328,295400.625,298113.84375,203699.6875,342941.09375,253809.296875,112034.828125,309973.03125,234870.5625,67220.8984375,330580.78125,243220.75,36971.49609375,337574.21875,226367.90625,18485.748046875,336430.375,217242.859375,9242.8740234375,,,,,,,,,
0f67e665-0221-45d7-ab38-d422600b97b1,north_to_south_severny,485110.7083333333,-157622.50130208334,333279.77566964284,454913.25,103.92147429899838,399912.46875,687346.125,203699.6875,373294.78125,633192.4375,112034.828125,351353.625,627969.5625,67220.8984375,338072.6875,646401.0,36971.49609375,323506.84375,646148.0,18485.748046875,327301.15625,651652.3125,9242.8740234375,,,,,,,,,
53f14f57-1bf0-4bf5-9d59-66f2469e9815,west_to_east_georgopol,-144766.93861607142,261487.57700892858,446274.0260416667,398112.3333333333,13.015847220657356,443354.75,569697.75,203699.6875,406309.25,584314.625,112034.828125,411256.21875,606601.3125,67220.8984375,411126.625,618349.875,36971.49609375,419076.375,634291.75,18485.748046875,410782.8125,638091.4375,9242.8740234375,407449.75,636517.25,4621.43701171875,409124.84375,635690.4375,2310.718505859375,,,
bf2c9bab-1747-4c3d-8e59-0533f0f44349,north_to_south_severny,341659.81875,-72820.50703125,391335.271875,59930.0375,69.48407540233349,422671.78125,674806.25,203699.6875,403020.625,691189.4375,112034.828125,396762.96875,728566.5625,67220.8984375,414872.3125,712742.5625,40332.5390625,419364.15625,714137.0625,26216.150390625,412136.4375,718089.375,17040.498046875,,,,,,,,,
e4dbd6fb-5009-483e-88d1-08e1fa6d6b7d,east_to_west_yasnaya,922124.5034722222,157351.53298611112,444098.9869791667,263822.9069010417,167.44338514009993,423354.6875,345085.375,203699.6875,461747.6875,380246.21875,112034.828125,460808.4375,384623.21875,67220.8984375,463749.9375,355704.34375,36971.49609375,459325.71875,339517.96875,18485.748046875,457839.03125,334995.3125,9242.8740234375,455428.375,332601.03125,4621.43701171875,,,,,,
0e15542e-cca1-4916-a9dd-6eae49214468,southeast_to_northwest_military,677539.13125,903797.03125,420963.1164772727,387350.8643465909,-116.4186809638271,304249.0625,311326.78125,203699.6875,290341.21875,324859.625,112034.828125,329987.8125,312800.59375,67220.8984375,331297.15625,339718.4375,36971.49609375,347098.21875,334226.21875,18485.748046875,344911.96875,336292.875,9242.8740234375,347210.75,336549.46875,4621.43701171875,347213.8125,335390.34375,2310.718505859375,,,
794393a5-767a-4565-84ff-6cab2dbf4abf,southeast_to_northwest_military,776130.3958333334,811919.8072916666,437205.60216346156,386384.6310096154,-128.53617051261097,550423.1875,327070.84375,203699.6875,586688.3125,285520.53125,112034.828125,571201.625,264774.5625,67220.8984375,576210.0,249722.484375,36971.49609375,582880.0,263118.09375,18485.748046875,577025.0,266410.34375,9242.8740234375,,,,,,,,,
7658ba0e-8789-4871-ab6c-1931be5ce87f,southwest_to_northeast_georgopol,-58093.201822916664,707438.2239583334,354631.4192708333,327280.724609375,-42.64793493869054,315550.96875,315339.0,203699.6875,382577.40625,345207.6875,112034.828125,396197.09375,340677.46875,67220.8984375,392168.0625,352692.71875,36971.49609375,385529.5,350069.8125,18485.748046875,388199.96875,345830.03125,9242.8740234375,387170.15625,343086.84375,4621.43701171875,388357.40625,343645.90625,2310.718505859375,,,
57e4acae-d693-447c-8c50-ff85f6ac9a0f,southwest_to_northeast_military,199242.90364583334,937629.7395833334,529435.4401041666,306313.3522135417,-62.38943044673278,375282.5625,220472.8125,203699.6875,373595.96875,187232.203125,112034.828125,364714.78125,146192.5625,67220.8984375,382921.6875,164322.171875,36971.49609375,367249.125,163888.171875,18485.748046875,367096.96875,166855.046875,9242.8740234375,,,,,,,,,
