match_id,route_group,phase,dx,dy,distance,angle,shrink_ratio
0195953b-eb83-49e4-b29e-3708ef83590d,west_to_east_georgopol,6,1502.65625,3954.25,4230.13816182924,69.19268670763384,0.5
01cd9484-9aaa-4327-845d-8e8b5a6f46a7,southwest_to_northeast_military,1,7106.5625,56183.9375,56631.59951449643,82.79108609806362,0.55
01cd9484-9aaa-4327-845d-8e8b5a6f46a7,southwest_to_northeast_military,2,-11429.15625,-4409.0,12250.097697035484,-158.9049935070068,0.600000013946556
01cd9484-9aaa-4327-845d-8e8b5a6f46a7,southwest_to_northeast_military,3,-26113.65625,-10612.4375,28187.70782512424,-157.88346213261647,0.5500000290553242
01cd9484-9aaa-4327-845d-8e8b5a6f46a7,southwest_to_northeast_military,4,-13808.1875,-6153.0625,15117.083718894412,-155.98178284454985,0.5
02033503-4da8-49d3-b581-8124dc51b362,south_to_north_military,1,-5831.75,62032.453125,62305.975225236805,95.37066420261074,0.55
02033503-4da8-49d3-b581-8124dc51b362,south_to_north_military,2,38031.484375,-21207.875,43545.00850592975,-29.145783544822287,0.600000013946556
02033503-4da8-49d3-b581-8124dc51b362,south_to_north_military,3,-9855.453125,5873.21875,11472.778860608438,149.2077661702451,0.5500000290553242
02033503-4da8-49d3-b581-8124dc51b362,south_to_north_military,4,-17496.6875,-2600.875,17688.940732510844,-171.54492090936984,0.5
023e33ab-9d44-49a0-95ef-68c4cc74c0fa,southeast_to_northwest_military,1,-31171.875,25294.3125,40143.34360592403,140.9425145270214,0.55
023e33ab-9d44-49a0-95ef-68c4cc74c0fa,southeast_to_northwest_military,2,36535.15625,18384.53125,40899.9832700961,26.711591383753607,0.600000013946556
023e33ab-9d44-49a0-95ef-68c4cc74c0fa,southeast_to_northwest_military,3,-9524.125,-12016.34375,15333.019080852573,-128.4002585906681,0.5500000290553242
023e33ab-9d44-49a0-95ef-68c4cc74c0fa,southeast_to_northwest_military,4,7070.28125,6974.40625,9931.325163045494,44.60888075759233,0.5
023e33ab-9d44-49a0-95ef-68c4cc74c0fa,southeast_to_northwest_military,5,1443.3125,3135.25,3451.513223957899,65.28101824802782,0.5
023e33ab-9d44-49a0-95ef-68c4cc74c0fa,southeast_to_northwest_military,6,2794.53125,2113.25,3503.6024988184035,37.096903740409566,0.5
023e33ab-9d44-49a0-95ef-68c4cc74c0fa,southeast_to_northwest_military,7,1203.34375,-1038.375,1589.4209075286076,-40.79117327044748,0.5
024730fd-3179-4c80-9d5f-c858f0446574,east_to_west,1,-17844.921875,-9486.4375,20209.743520546217,-152.00469543601463,0.55
024730fd-3179-4c80-9d5f-c858f0446574,east_to_west,2,16593.515625,-30168.5625,34430.90071597787,-61.18803066911962,0.600000013946556
024730fd-3179-4c80-9d5f-c858f0446574,east_to_west,3,-27377.375,5463.59375,27917.22619737971,168.71397842163046,0.5500000290553242
024730fd-3179-4c80-9d5f-c858f0446574,east_to_west,4,11394.046875,5875.84375,12819.900310225166,27.279894877772207,0.5
024730fd-3179-4c80-9d5f-c858f0446574,east_to_west,5,5521.09375,1194.34375,5648.799269707955,12.206355113445285,0.5
024730fd-3179-4c80-9d5f-c858f0446574,east_to_west,6,-3837.65625,2162.28125,4404.891110716089,150.601438214031,0.5
024730fd-3179-4c80-9d5f-c858f0446574,east_to_west,7,1548.140625,-1178.46875,1945.6433356352734,-37.27895563394848,0.5
025655e8-2c67-4eaa-b059-375724defaf5,southeast_to_northwest_military,1,96.78125,63586.875,63586.9486520306,89.91279406514204,0.55
025655e8-2c67-4eaa-b059-375724defaf5,southeast_to_northwest_military,2,-16081.75,2527.9375,16279.22452288211,171.06660975559473,0.600000013946556
025655e8-2c67-4eaa-b059-375724defaf5,southeast_to_northwest_military,3,-9340.71875,11649.1875,14931.597241312056,128.72383680160542,0.5500000290553242
025655e8-2c67-4eaa-b059-375724defaf5,southeast_to_northwest_military,4,-4683.5625,4063.0625,6200.341488201477,139.05785883431088,0.5
025655e8-2c67-4eaa-b059-375724defaf5,southeast_to_northwest_military,5,29.625,2588.8125,2588.9820008608112,89.34436604380447,0.5
025655e8-2c67-4eaa-b059-375724defaf5,southeast_to_northwest_military,6,-55.65625,-272.5625,278.1868698740336,-101.54092696285521,0.5
026f840f-82ee-4a1e-8f93-08b407c9d1fa,north_to_south_severny,1,-87490.5625,3194.9375,87548.87864613294,177.90863009624576,0.55
026f840f-82ee-4a1e-8f93-08b407c9d1fa,north_to_south_severny,2,-17809.53125,26942.8125,32296.974297213706,123.46519513905623,0.600000013946556
026f840f-82ee-4a1e-8f93-08b407c9d1fa,north_to_south_severny,3,20533.40625,5695.3125,21308.621651814912,15.502318932328187,0.5500000290553242
026f840f-82ee-4a1e-8f93-08b407c9d1fa,north_to_south_severny,4,7314.15625,-16879.125,18395.699019472977,-66.57168228347032,0.5
026f840f-82ee-4a1e-8f93-08b407c9d1fa,north_to_south_severny,5,1772.9375,-3863.34375,4250.733149654341,-65.34900884473493,0.5
026f840f-82ee-4a1e-8f93-08b407c9d1fa,north_to_south_severny,6,1967.3125,101.0625,1969.9066225490233,2.9407474244951177,0.5
026f840f-82ee-4a1e-8f93-08b407c9d1fa,north_to_south_severny,7,136.53125,2226.75,2230.931721215726,86.4913512753865,0.5
027d6e45-49a3-4d24-98bb-e0fb112d330f,north_to_south_severny,1,33157.40625,6286.890625,33748.16414204263,10.736256681585957,0.55
027d6e45-49a3-4d24-98bb-e0fb112d330f,north_to_south_severny,2,-11010.09375,23626.3125,26065.77846010829,114.98598165152131,0.600000013946556
027d6e45-49a3-4d24-98bb-e0fb112d330f,north_to_south_severny,3,-12094.15625,23723.703125,26628.606898644714,117.01212738610528,0.6
027d6e45-49a3-4d24-98bb-e0fb112d330f,north_to_south_severny,4,-10332.90625,3821.21875,11016.83549421705,159.70506958533184,0.65
027d6e45-49a3-4d24-98bb-e0fb112d330f,north_to_south_severny,5,5826.75,-5466.4375,7989.55283504066,-43.17258104844211,0.6500000111751247
027d6e45-49a3-4d24-98bb-e0fb112d330f,north_to_south_severny,6,-4806.375,1178.53125,4948.755050298162,166.2227984626605,0.6499999713458345
027d6e45-49a3-4d24-98bb-e0fb112d330f,north_to_south_severny,7,122.9375,-703.578125,714.2379203632117,-80.08866308303207,0.7
0280f917-8a9a-4484-8c02-1b0bcbc9d179,southeast_to_northwest,1,1500.9375,-44645.921875,44671.14452806766,-88.0745160173106,0.55
0280f917-8a9a-4484-8c02-1b0bcbc9d179,southeast_to_northwest,2,30914.96875,-8208.125,31986.068980559357,-14.869339480357883,0.600000013946556
0280f917-8a9a-4484-8c02-1b0bcbc9d179,southeast_to_northwest,3,-9929.28125,-405.703125,9937.566159137574,-177.66023809489928,0.5500000290553242
0280f917-8a9a-4484-8c02-1b0bcbc9d179,southeast_to_northwest,4,-9267.53125,2479.109375,9593.389326142218,165.02375720705692,0.5
0280f917-8a9a-4484-8c02-1b0bcbc9d179,southeast_to_northwest,5,404.96875,3715.390625,3737.3957757795,83.77945297616776,0.5
0280f917-8a9a-4484-8c02-1b0bcbc9d179,southeast_to_northwest,6,-1826.84375,-3423.21875,3880.178436266253,-118.087171778754,0.5
0282514c-d9ca-4544-83bc-111509e7a489,south_to_north_military,1,14493.8125,-33198.625,36224.56766720317,-66.41494345036683,0.55
0282514c-d9ca-4544-83bc-111509e7a489,south_to_north_military,2,-32221.0,-10341.0625,33839.775629115895,-162.2063981774475,0.600000013946556
0282514c-d9ca-4544-83bc-111509e7a489,south_to_north_military,3,-27325.0,3229.3125,27515.16098849244,173.25995565173224,0.5500000290553242
0282514c-d9ca-4544-83bc-111509e7a489,south_to_north_military,4,4866.8125,1570.15625,5113.829735097788,17.881007634221834,0.5
0282514c-d9ca-4544-83bc-111509e7a489,south_to_north_military,5,-844.875,-2506.84375,2645.3883179108248,-108.6252255979356,0.5
02b9c7e2-1243-43b0-9717-88cee4f0d2a2,southeast_to_northwest_military,1,-17967.546875,-11141.78125,21141.713036747373,-148.19670585557253,0.55
02b9c7e2-1243-43b0-9717-88cee4f0d2a2,southeast_to_northwest_military,2,14215.984375,419.15625,14222.162413365915,1.6888685031814037,0.600000013946556
02b9c7e2-1243-43b0-9717-88cee4f0d2a2,southeast_to_northwest_military,3,19844.984375,9192.1875,21870.521618817198,24.853550160808982,0.5500000290553242
02b9c7e2-1243-43b0-9717-88cee4f0d2a2,southeast_to_northwest_military,4,10683.3125,-14008.03125,17616.983438535462,-52.66881907914244,0.5
02b9c7e2-1243-43b0-9717-88cee4f0d2a2,southeast_to_northwest_military,5,3164.421875,1003.0,3319.574491253136,17.58661218069969,0.5
02b9c7e2-1243-43b0-9717-88cee4f0d2a2,southeast_to_northwest_military,6,-2031.5,2377.40625,3127.147698388911,130.51397734741604,0.5
02b9c7e2-1243-43b0-9717-88cee4f0d2a2,southeast_to_northwest_military,7,-134.140625,562.25,578.0300768778305,103.41868513933497,0.5
02ca6964-1304-48fe-9346-48dc394d6429,east_to_west,1,-24146.90625,-32479.15625,40471.82565882349,-126.62927295218056,0.55
02ca6964-1304-48fe-9346-48dc394d6429,east_to_west,2,-21304.9375,-12063.59375,24483.272984712345,-150.47995767054917,0.600000013946556
02ca6964-1304-48fe-9346-48dc394d6429,east_to_west,3,5007.109375,28825.40625,29257.053675494255,80.14577861491406,0.5500000290553242
02ca6964-1304-48fe-9346-48dc394d6429,east_to_west,4,9236.6875,12260.59375,15350.522957710442,53.006953189398075,0.5
02ca6964-1304-48fe-9346-48dc394d6429,east_to_west,5,7506.859375,3773.71875,8402.017072115896,26.688801512257132,0.5
02ca6964-1304-48fe-9346-48dc394d6429,east_to_west,6,2769.796875,1462.625,3132.259028143229,27.836840225933567,0.5
