match_id,start_x,start_y,end_x,end_y,angle,route_group,confidence
51d3d269-d446-43b8-b98f-780d7569cade,-30091.63046875,719092.6875,501236.5703125,359052.7486979167,-34.1224500204219,southwest_to_northeast,1.0
1765e858-49b2-47b4-96d2-4de7d5e8521e,831861.3806818182,190376.74573863635,362516.91183035716,336329.1629464286,162.72583256596778,east_to_west_yasnaya,0.5
74499349-4d36-4c83-a20f-aad53da09fba,194642.11658653847,-76964.64903846153,442626.51201923075,228079.87319711538,50.8907891727873,northwest_to_southeast_severny,1.0
93b5ff6d-713f-4b87-a779-6f66f29693a7,281038.26682692306,959134.4086538461,412874.36079545453,334367.9140625,-78.08444626455025,south_to_north_military,1.0
2dda9aec-9e7a-43f3-9510-614097d93c45,927010.8636363636,621362.9147727273,405537.3515625,319096.4270833333,-149.90173806861014,southeast_to_northwest,1.0
af251cd2-16e9-4de5-95ec-e860c46fa19d,832302.1647727273,113347.22301136363,457469.56473214284,471974.56696428574,136.26570203097873,northeast_to_southwest_yasnaya,1.0
e131ab1e-4fb4-4aa1-a04e-26e5b1b73962,-107317.35369318182,648755.8352272727,315564.74609375,340898.18125,-36.05457258969218,southwest_to_northeast_georgopol,1.0
3f724ecf-166b-4f02-9a7c-ea77aec1d983,-57873.530924479164,746870.6927083334,430288.08928571426,509515.6339285714,-25.93005360396982,southwest_to_northeast_military,1.0
79600bb2-a8eb-4196-b4cd-b8ff8815d008,-32896.6005859375,720560.69375,499119.91796875,393517.40234375,-31.580037955174685,southwest_to_northeast,1.0
faaf8dd5-d0d5-491d-900c-f2fb00485365,646042.40625,919446.828125,536173.271875,382481.31640625,-101.56374401949671,south_to_north_military,1.0
0185d66f-d5ac-4825-ab45-7c00179eac7f,-115981.68841911765,633502.9301470588,330025.6140625,429221.25,-24.60887725785322,southwest_to_northeast_georgopol,1.0
5c5e3358-fde2-4657-aa2f-2da1c276c48a,963522.9375,538774.1166666667,253105.0265625,280108.7796875,-159.993280052185,east_to_west,1.0
f2bc07a5-b3a9-4b5d-a2be-c6352af241ae,396546.65625,984299.75625,467983.67410714284,389688.53571428574,-83.14927873011997,south_to_north_military,0.5
30926f21-b40c-48d4-91dd-aa3b4780568f,728897.19375,874669.10625,396928.20454545453,496297.0056818182,-131.2624572332959,southeast_to_northwest_military,1.0
c14089fe-14f4-4de2-a9c5-1872de5a2b97,470092.6164772727,-160721.81107954544,391091.3409090909,219758.01633522726,101.72998644856328,north_to_south_severny,0.1
0698eca0-c6d5-4172-bb51-85cbdec1deb7,-159925.41947115384,470330.22596153844,367597.2002840909,301289.53267045453,-17.767669603065148,west_to_east_georgopol,1.0
0e17217a-2528-4df8-99fb-441ef23e3924,-163359.88958333334,433741.88958333334,337873.0169270833,265085.9479166667,-18.59716927004536,west_to_east_georgopol,1.0
04b09d0e-7af0-4205-ae6b-521e34039705,-160185.13701923078,400108.30528846156,472547.9625,225661.3109375,-15.41374037976094,west_to_east_georgopol,1.0
d58e2d47-6723-485b-a50d-468a500f6af2,870776.9666666667,707439.4041666667,309627.3078125,414481.13125,-152.43237991047147,southeast_to_northwest_military,1.0
81481255-d1a6-4b5e-83c8-979621dd52f4,279351.48011363635,942665.7045454546,401971.9639423077,438716.85877403844,-76.32457827116731,south_to_north_military,1.0
f6abca13-0157-4bd1-8a51-675da2d9e5ad,40655.19609375,155305.628125,290050.19375,333741.528125,35.58277497829164,northwest_to_southeast_georgopol,0.55
369238ea-4c7d-4441-8e23-f46f66ba0218,-92400.56730769231,173227.65625,339037.434375,359409.825,23.34206413648224,northwest_to_southeast_georgopol,1.0
a2ff4eba-8fb5-4e76-9e56-754aaef957ed,-4440.1496347280645,795033.1105769231,448600.9,500087.065625,-33.065577128553166,southwest_to_northeast_military,1.0
25a1131b-901f-4903-904d-1991654a508c,97073.81863839286,-26030.564871651786,334126.62620192306,310753.48076923075,54.85936430667661,northwest_to_southeast_georgopol,1.0
3bfde1bb-1510-4c19-8444-65257880dec8,434583.31875,-161215.815625,387932.9713541667,427576.765625,94.53011148544805,north_to_south_severny,1.0
a1300265-574d-46f2-9de2-9ae11fe34b12,157551.40755208334,-105842.08984375,390729.82932692306,360965.0594951923,63.45706125084674,northwest_to_southeast_severny,1.0
4b4ce3f9-f71c-4071-8a86-75f2266494bb,672483.1826923077,908067.5144230769,390687.11875,422632.3125,-120.13524714509964,southeast_to_northwest_military,1.0
88c0904c-088d-4099-bf9b-13fa31fd3fd2,441810.909375,348131.0046875,491500.9635416667,344969.2643229167,-3.6407787293965836,west_to_east_pochinki,0.25
aab2d160-8871-477e-b8e0-5489a3124bd9,-83486.14518229167,654297.625,442628.2686298077,441542.5649038461,-22.017883054179553,west_to_east_georgopol,1.0
9384c862-f5b8-458a-a14b-a5214a4affab,-105398.5390625,622060.9875,368385.9934895833,268335.9401041667,-36.74482549527144,southwest_to_northeast_georgopol,1.0
31f483ce-e71e-4f3b-84be-3a954d3a8d50,564274.4921875,-142905.822265625,538322.1153846154,265954.69591346156,93.63197077439128,north_to_south_severny,1.0
4cffa576-c051-4095-b1d0-d7107fc81f5a,922692.5885416666,164214.90494791666,324298.52890625,332308.740625,164.30950861015324,east_to_west_yasnaya,1.0
ee3a9cca-009f-4678-844c-ab2940296d0a,-65194.6515625,692162.41875,510405.81696428574,396097.15625,-27.21943064827399,southwest_to_northeast,1.0
1c9c9fd1-e23d-492b-9948-bf40026344b1,816888.6006944445,796149.4027777778,404235.4267578125,288960.76611328125,-129.13210778253023,southeast_to_northwest,1.0
9dbd1f9d-c33d-4e54-8d0b-c8cb13035556,207267.26802884616,-122658.25360576923,513672.04583333334,465895.9265625,62.49824877448744,northwest_to_southeast_severny,1.0
5ae51d3d-d9b4-4a5e-b446-c3e660ab2445,933913.3181818182,266221.98579545453,299384.3463541667,346171.83958333335,172.8186471174596,east_to_west_yasnaya,1.0
5d48475f-8132-4b94-a1d6-e7e9f4edcb9b,-72571.5078125,208481.52884615384,342748.5071614583,268918.3333333333,8.27948915543241,west_to_east_georgopol,1.0
12eb847b-92b1-4aad-a431-f086cdc091cb,432459.8046875,978577.3125,545081.128125,333708.41875,-80.09364686448511,south_to_north_military,1.0
55516012-ea56-47a0-a481-37b6642f3b21,541100.3295454546,-152430.92613636365,438424.92329545453,280125.06676136365,103.35311610924649,north_to_south_severny,1.0
ffcd897f-37e8-4fd3-831b-437f639a771e,195799.246875,-107463.5171875,218274.975,320282.34140625,86.99218320233199,north_to_south_georgopol,1.0
a0c84659-f2b2-4e94-896f-9204afc64517,-159480.67708333334,447003.421875,478465.91796875,325340.8268229167,-10.797207253686704,west_to_east_georgopol,1.0
237f71c6-5a6d-42ec-a655-b66a12b49273,900152.68125,164864.24375,307145.43793402775,356358.5052083333,162.10366241137174,east_to_west_yasnaya,1.0
844eb88f-34bd-42cf-ab95-8321f6e32886,-158430.1875,394310.228125,277841.44891826925,368108.42307692306,-3.436968164151209,west_to_east_georgopol,1.0
8a17f55a-a8e7-4ce6-bb4b-a41d72116f3f,841088.3181818182,779188.7102272727,342381.11875,325602.4666666667,-137.71272299968993,southeast_to_northwest,1.0
b6876134-9680-4a64-bdde-c1c242cf2da7,948766.8352272727,536672.5397727273,515178.1875,375012.69105113635,-159.5524564373817,east_to_west,1.0
